script_url_stemmed,script_url_domain,filter,regex
psonstrentie.info/cADY9C6hbq2F5_lkSgWUQz9/MUjqgRwvM_jVMK0TN/C_0nyoOiD/AJyYNUToIS1N,psonstrentie.info,||psonstrentie.info/*/AJyYNUToIS1N^,psonstrentie.info/.+/AJyYNUToIS1N
client.perimeterx.net/PXrf8vapwA/main.min.js,perimeterx.net,||perimeterx.net/*/main.min.js^,perimeterx.net/.+/main.min.js
api-identification.hotmart.com/id.min.js,hotmart.com,||hotmart.com/*/id.min.js^,hotmart.com/.+/id.min.js
sonar.semantiqo.com/c83ul/checking.js,semantiqo.com,||semantiqo.com/*/checking.js^,semantiqo.com/.+/checking.js
go.ero-advertising.com/loadeactrl.go,ero-advertising.com,||ero-advertising.com/*/loadeactrl.go^,ero-advertising.com/.+/loadeactrl.go
cdn.justuno.com/mwgt_4.1.js,justuno.com,||justuno.com/*/mwgt_4.1.js^,justuno.com/.+/mwgt_4.1.js
usocial.pro/usocial/fingerprint2.min.js,usocial.pro,||usocial.pro/*/fingerprint2.min.js^,usocial.pro/.+/fingerprint2.min.js
prod-js.aws.y-track.com/YT-000058-1/v5/tracker.min.js,y-track.com,||y-track.com/*/tracker.min.js^,y-track.com/.+/tracker.min.js
sonar.semantiqo.com/c82up/checking.js,semantiqo.com,||semantiqo.com/*/checking.js^,semantiqo.com/.+/checking.js
sl-h-statistics-ch-1.storeland.ru/static/fp.js,storeland.ru,||storeland.ru/*/fp.js^,storeland.ru/.+/fp.js
static-login.sendpulse.com/apps/fc3/build/dh-libs.js,sendpulse.com,||sendpulse.com/*/dh-libs.js^,sendpulse.com/.+/dh-libs.js
cdn-view.c3tag.com/v.js,c3tag.com,||c3tag.com/*/v.js^,c3tag.com/.+/v.js
a.adnium.com/static,adnium.com,||adnium.com/*/static^,adnium.com/.+/static
aivalabs.com/cta/,aivalabs.com,||aivalabs.com/*/^,aivalabs.com/.+/
ismatlab.com/cp/public/js/cp.js,ismatlab.com,||ismatlab.com/*/cp.js^,ismatlab.com/.+/cp.js
serve.albacross.com/track.js,albacross.com,||albacross.com/*/track.js^,albacross.com/.+/track.js
assets.poool.fr/poool-identity.min.js,poool.fr,||poool.fr/*/poool-identity.min.js^,poool.fr/.+/poool-identity.min.js
cdn.b0e8.com/conv_v3.js,b0e8.com,||b0e8.com/*/conv_v3.js^,b0e8.com/.+/conv_v3.js
assets.pixlee.com/shopify/pixlee.shopify.v2.prod.js,pixlee.com,||pixlee.com/*/pixlee.shopify.v2.prod.js^,pixlee.com/.+/pixlee.shopify.v2.prod.js
adspaces.ero-advertising.com/loadeactrl.go,ero-advertising.com,||ero-advertising.com/*/loadeactrl.go^,ero-advertising.com/.+/loadeactrl.go
pinpoll.com/global.js,pinpoll.com,||pinpoll.com/*/global.js^,pinpoll.com/.+/global.js
io.clickguard.com/s/cHJvdGVjdG9y/RagAwVif,clickguard.com,||clickguard.com/*/RagAwVif^,clickguard.com/.+/RagAwVif
static.cbox.ws/jsc/jsc_1540817417.js,cbox.ws,||cbox.ws/*/jsc_1540817417.js^,cbox.ws/.+/jsc_1540817417.js
yummy.consumable.com/4212/cnsmbl-audio-728x90-slider/widget/iframe.js,consumable.com,||consumable.com/*/iframe.js^,consumable.com/.+/iframe.js
ze-fir.com/js/t.js,ze-fir.com,||ze-fir.com/*/t.js^,ze-fir.com/.+/t.js
sonar.semantiqo.com/5dfrep/checking.js,semantiqo.com,||semantiqo.com/*/checking.js^,semantiqo.com/.+/checking.js
eyenewton.ru/scripts/callback.min.js,eyenewton.ru,||eyenewton.ru/*/callback.min.js^,eyenewton.ru/.+/callback.min.js
cdn.avmws.com/1011997/,avmws.com,||avmws.com/*/^,avmws.com/.+/
ad.bitmedia.io/js/adbybm.js/5a0ad92bfc42f6001cb51175,bitmedia.io,||bitmedia.io/*/5a0ad92bfc42f6001cb51175^,bitmedia.io/.+/5a0ad92bfc42f6001cb51175
yummy.consumable.com/5122/cnsmbl-audio-728x90-slider/widget/iframe.js,consumable.com,||consumable.com/*/iframe.js^,consumable.com/.+/iframe.js
static.brandcrumb.com/bc.js,brandcrumb.com,||brandcrumb.com/*/bc.js^,brandcrumb.com/.+/bc.js
ad.bitmedia.io/js/adbybm.js/59b999c98995730020ff8a69,bitmedia.io,||bitmedia.io/*/59b999c98995730020ff8a69^,bitmedia.io/.+/59b999c98995730020ff8a69
ad.bitmedia.io/js/adbybm.js/5bd2b4ba474087000feabf79,bitmedia.io,||bitmedia.io/*/5bd2b4ba474087000feabf79^,bitmedia.io/.+/5bd2b4ba474087000feabf79
